film_ref	community_id
(filmRef)14748	0
(filmRef)14612	0
(filmRef)14611	0
(filmRef)14609	0
(filmRef)14507	0
(filmRef)14510	0
(filmRef)14511	0
(filmRef)14518	0
(filmRef)14520	0
(filmRef)17364	0
(filmRef)14568	0
(filmRef)14570	0
(filmRef)14571	0
(filmRef)14588	0
(filmRef)14590	0
(filmRef)14593	0
(filmRef)14595	0
(filmRef)14603	0
(filmRef)14606	0
(filmRef)14768	0
(filmRef)15625	0
(filmRef)14770	0
(filmRef)14811	0
(filmRef)15005	0
(filmRef)15009	0
(filmRef)15017	0
(filmRef)15018	0
(filmRef)15033	0
(filmRef)15040	0
(filmRef)15002	0
(filmRef)15047	0
(filmRef)15202	0
(filmRef)15203	0
(filmRef)15204	0
(filmRef)15205	0
(filmRef)15206	0
(filmRef)15207	0
(filmRef)15201	0
(filmRef)15000	0
(filmRef)14997	0
(filmRef)14995	0
(filmRef)14816	0
(filmRef)14819	0
(filmRef)14821	0
(filmRef)14840	0
(filmRef)14908	0
(filmRef)14916	0
(filmRef)14935	0
(filmRef)14936	0
(filmRef)14937	0
(filmRef)14940	0
(filmRef)14941	0
(filmRef)14944	0
(filmRef)14945	0
(filmRef)14972	0
(filmRef)14973	0
(filmRef)14808	0
(filmRef)15707	0
(filmRef)14558	0
(filmRef)15709	0
(filmRef)16390	0
(filmRef)16391	0
(filmRef)16392	0
(filmRef)16393	0
(filmRef)17051	0
(filmRef)17052	0
(filmRef)16389	0
(filmRef)17053	0
(filmRef)17055	0
(filmRef)17056	0
(filmRef)17057	0
(filmRef)17058	0
(filmRef)17059	0
(filmRef)17060	0
(filmRef)17054	0
(filmRef)17061	0
(filmRef)16388	0
(filmRef)16386	0
(filmRef)16372	0
(filmRef)16373	0
(filmRef)16374	0
(filmRef)16375	0
(filmRef)16376	0
(filmRef)16377	0
(filmRef)16387	0
(filmRef)16378	0
(filmRef)16380	0
(filmRef)16381	0
(filmRef)16382	0
(filmRef)16383	0
(filmRef)16384	0
(filmRef)16385	0
(filmRef)16379	0
(filmRef)17062	0
(filmRef)17063	0
(filmRef)17064	0
(filmRef)17349	0
(filmRef)17350	0
(filmRef)17351	0
(filmRef)17352	0
(filmRef)17353	0
(filmRef)17354	0
(filmRef)17348	0
(filmRef)17355	0
(filmRef)17357	0
(filmRef)17358	0
(filmRef)17359	0
(filmRef)17361	0
(filmRef)17362	0
(filmRef)15708	0
(filmRef)17356	0
(filmRef)17321	0
(filmRef)17320	0
(filmRef)17319	0
(filmRef)17065	0
(filmRef)17066	0
(filmRef)17067	0
(filmRef)17068	0
(filmRef)17069	0
(filmRef)17070	0
(filmRef)17310	0
(filmRef)17311	0
(filmRef)17312	0
(filmRef)17313	0
(filmRef)17314	0
(filmRef)17315	0
(filmRef)17316	0
(filmRef)17317	0
(filmRef)17318	0
(filmRef)16371	0
(filmRef)16131	0
(filmRef)17360	0
(filmRef)16129	0
(filmRef)15848	0
(filmRef)15849	0
(filmRef)15850	0
(filmRef)15851	0
(filmRef)15852	0
(filmRef)15853	0
(filmRef)15847	0
(filmRef)15854	0
(filmRef)15856	0
(filmRef)15857	0
(filmRef)15858	0
(filmRef)15859	0
(filmRef)15860	0
(filmRef)15861	0
(filmRef)15855	0
(filmRef)15862	0
(filmRef)15845	0
(filmRef)15756	0
(filmRef)16130	0
(filmRef)15711	0
(filmRef)15713	0
(filmRef)15714	0
(filmRef)15715	0
(filmRef)15716	0
(filmRef)15834	0
(filmRef)15717	0
(filmRef)15719	0
(filmRef)15720	0
(filmRef)15721	0
(filmRef)15722	0
(filmRef)15723	0
(filmRef)15724	0
(filmRef)15718	0
(filmRef)15863	0
(filmRef)15712	0
(filmRef)15865	0
(filmRef)16116	0
(filmRef)16117	0
(filmRef)16118	0
(filmRef)16119	0
(filmRef)16120	0
(filmRef)16121	0
(filmRef)16115	0
(filmRef)16122	0
(filmRef)16124	0
(filmRef)16125	0
(filmRef)16126	0
(filmRef)16127	0
(filmRef)15864	0
(filmRef)16128	0
(filmRef)16123	0
(filmRef)16114	0
(filmRef)15710	0
(filmRef)16112	0
(filmRef)16113	0
(filmRef)15867	0
(filmRef)16099	0
(filmRef)16100	0
(filmRef)16101	0
(filmRef)16102	0
(filmRef)16103	0
(filmRef)15866	0
(filmRef)16105	0
(filmRef)16106	0
(filmRef)16104	0
(filmRef)16107	0
(filmRef)16108	0
(filmRef)16110	0
(filmRef)16109	0
(filmRef)16111	0
(filmRef)15349	1
(filmRef)15353	1
(filmRef)15410	1
(filmRef)15411	1
(filmRef)15414	1
(filmRef)15557	1
(filmRef)15438	1
(filmRef)15348	1
(filmRef)15561	1
(filmRef)15609	1
(filmRef)15610	1
(filmRef)15611	1
(filmRef)15415	1
(filmRef)15338	1
(filmRef)15315	1
(filmRef)15318	1
(filmRef)15016	1
(filmRef)15031	1
(filmRef)15131	1
(filmRef)15133	1
(filmRef)15163	1
(filmRef)15164	1
(filmRef)15330	1
(filmRef)15177	1
(filmRef)15212	1
(filmRef)15233	1
(filmRef)15640	1
(filmRef)15312	1
(filmRef)15313	1
(filmRef)15314	1
(filmRef)15211	1
(filmRef)15252	1
(filmRef)15736	1
(filmRef)15659	1
(filmRef)16015	1
(filmRef)16016	1
(filmRef)16017	1
(filmRef)16018	1
(filmRef)16019	1
(filmRef)16021	1
(filmRef)16014	1
(filmRef)16023	1
(filmRef)16340	1
(filmRef)16341	1
(filmRef)16342	1
(filmRef)15001	1
(filmRef)16343	1
(filmRef)16345	1
(filmRef)16025	1
(filmRef)15647	1
(filmRef)16013	1
(filmRef)16010	1
(filmRef)15662	1
(filmRef)15678	1
(filmRef)15679	1
(filmRef)15683	1
(filmRef)15735	1
(filmRef)15753	1
(filmRef)16011	1
(filmRef)15754	1
(filmRef)15766	1
(filmRef)15791	1
(filmRef)15792	1
(filmRef)15795	1
(filmRef)15841	1
(filmRef)16008	1
(filmRef)15755	1
(filmRef)15844	1
(filmRef)20488	1
(filmRef)20636	1
(filmRef)20465	1
(filmRef)20463	1
(filmRef)20462	1
(filmRef)20461	1
(filmRef)20418	1
(filmRef)20413	1
(filmRef)20411	1
(filmRef)20407	1
(filmRef)20405	1
(filmRef)20403	1
(filmRef)20397	1
(filmRef)20380	1
(filmRef)20316	1
(filmRef)20315	1
(filmRef)20308	1
(filmRef)20307	1
(filmRef)20304	1
(filmRef)20142	1
(filmRef)16348	1
(filmRef)20143	1
(filmRef)20193	1
(filmRef)20195	1
(filmRef)20196	1
(filmRef)20466	1
(filmRef)20197	1
(filmRef)20200	1
(filmRef)20201	1
(filmRef)20295	1
(filmRef)20297	1
(filmRef)20298	1
(filmRef)20302	1
(filmRef)20199	1
(filmRef)20482	1
(filmRef)20484	1
(filmRef)20487	1
(filmRef)20590	1
(filmRef)20592	1
(filmRef)20593	1
(filmRef)20597	1
(filmRef)20598	1
(filmRef)20600	1
(filmRef)20589	1
(filmRef)20602	1
(filmRef)20606	1
(filmRef)20608	1
(filmRef)20623	1
(filmRef)20624	1
(filmRef)20631	1
(filmRef)20632	1
(filmRef)20603	1
(filmRef)20638	1
(filmRef)20583	1
(filmRef)20554	1
(filmRef)20504	1
(filmRef)20505	1
(filmRef)20534	1
(filmRef)20539	1
(filmRef)20540	1
(filmRef)20541	1
(filmRef)20555	1
(filmRef)20543	1
(filmRef)20546	1
(filmRef)20547	1
(filmRef)20550	1
(filmRef)20551	1
(filmRef)20552	1
(filmRef)20553	1
(filmRef)20544	1
(filmRef)16350	1
(filmRef)20314	1
(filmRef)16353	1
(filmRef)20457	1
(filmRef)20456	1
(filmRef)20455	1
(filmRef)20446	1
(filmRef)20417	1
(filmRef)20416	1
(filmRef)20415	1
(filmRef)20414	1
(filmRef)20412	1
(filmRef)20410	1
(filmRef)20409	1
(filmRef)20408	1
(filmRef)20406	1
(filmRef)20404	1
(filmRef)20402	1
(filmRef)20401	1
(filmRef)20400	1
(filmRef)20372	1
(filmRef)20373	1
(filmRef)20374	1
(filmRef)20375	1
(filmRef)20376	1
(filmRef)20377	1
(filmRef)20458	1
(filmRef)20378	1
(filmRef)20393	1
(filmRef)20394	1
(filmRef)20395	1
(filmRef)20396	1
