film_ref	tfidf_cluster
(filmRef)0535	13
(filmRef)0536	14
(filmRef)0537	11
(filmRef)0538	1
(filmRef)0539A	14
(filmRef)0539B	14
(filmRef)0541	9
(filmRef)0543	14
(filmRef)0544	13
(filmRef)0545	2
(filmRef)0546	7
(filmRef)0547	14
(filmRef)0548	14
(filmRef)0549	2
(filmRef)0550	2
(filmRef)0551	14
(filmRef)0552	6
(filmRef)0553	14
(filmRef)0554	14
(filmRef)0555	19
(filmRef)0556	14
(filmRef)0558	13
(filmRef)0560	18
(filmRef)0561A	14
(filmRef)0561B	7
(filmRef)0561C	14
(filmRef)0561D	11
(filmRef)0561E	14
(filmRef)0561F	14
(filmRef)0562	14
(filmRef)0563	1
(filmRef)0564	7
(filmRef)0565	14
(filmRef)0566	14
(filmRef)0567	14
(filmRef)0568	2
(filmRef)0569	14
(filmRef)0570	14
(filmRef)0571	13
(filmRef)0572	14
(filmRef)0573	10
(filmRef)0574	14
(filmRef)0575	14
(filmRef)0576	14
(filmRef)0577	7
(filmRef)0578	13
(filmRef)0579	13
(filmRef)0580	13
(filmRef)0581	11
(filmRef)0584	14
(filmRef)0585	1
(filmRef)0586	2
(filmRef)0587	13
(filmRef)0588	13
(filmRef)0589	10
(filmRef)0590	14
(filmRef)0591	10
(filmRef)0592	14
(filmRef)0594	11
(filmRef)0595	14
(filmRef)0596	14
(filmRef)0597A	13
(filmRef)0597B	14
(filmRef)0598	19
(filmRef)0600	14
(filmRef)0601	3
(filmRef)0603	14
(filmRef)0604	14
(filmRef)0605	13
(filmRef)0606	11
(filmRef)0607	13
(filmRef)0608	13
(filmRef)0609	13
(filmRef)0610	13
(filmRef)0611	13
(filmRef)0612	11
(filmRef)0613	11
(filmRef)0614	13
(filmRef)0615	13
(filmRef)0616	13
(filmRef)0617	13
(filmRef)0618	13
(filmRef)0619	2
(filmRef)0620	13
(filmRef)0621	13
(filmRef)0622	10
(filmRef)0623	13
(filmRef)0624	10
(filmRef)0625	19
(filmRef)0626	14
(filmRef)0627	19
(filmRef)0628	11
(filmRef)0629	11
(filmRef)0630	13
(filmRef)0631	2
(filmRef)0632	13
(filmRef)0633	11
(filmRef)0634	14
(filmRef)0635	11
(filmRef)0636	13
(filmRef)0637	10
(filmRef)0638	11
(filmRef)0639A	14
(filmRef)0639B	14
(filmRef)0640	14
(filmRef)0641	2
(filmRef)0642	11
(filmRef)0643	19
(filmRef)0644	19
(filmRef)0645	13
(filmRef)0646A	14
(filmRef)0647	14
(filmRef)0648	14
(filmRef)0650	11
(filmRef)0651	11
(filmRef)0652	13
(filmRef)0653A	14
(filmRef)0653B	14
(filmRef)0653C	14
(filmRef)0654A	14
(filmRef)0654B	14
(filmRef)0655	11
(filmRef)0656	11
(filmRef)0657	11
(filmRef)0658	11
(filmRef)0659	11
(filmRef)0660	11
(filmRef)0661	13
(filmRef)0662	13
(filmRef)0663	13
(filmRef)0665	14
(filmRef)0666	18
(filmRef)0667	11
(filmRef)0668	13
(filmRef)0669	2
(filmRef)0670	2
(filmRef)0672	10
(filmRef)0673	6
(filmRef)0674	11
(filmRef)0677	11
(filmRef)0679	11
(filmRef)0683	11
(filmRef)0684	11
(filmRef)0687	11
(filmRef)0688	11
(filmRef)0689	11
(filmRef)0690	10
(filmRef)0692	13
(filmRef)0693	10
(filmRef)0694	10
(filmRef)0695	18
(filmRef)0697	13
(filmRef)0698	11
(filmRef)0699	11
(filmRef)0702	14
(filmRef)0703	2
(filmRef)0704	14
(filmRef)0705	10
(filmRef)0707	14
(filmRef)0711	7
(filmRef)0712	14
(filmRef)0713	14
(filmRef)0715	6
(filmRef)0717	11
(filmRef)0718	11
(filmRef)0719	11
(filmRef)0720	6
(filmRef)0722	14
(filmRef)0723	11
(filmRef)0724	6
(filmRef)0727	13
(filmRef)0728	11
(filmRef)0735	11
(filmRef)0736	11
(filmRef)0737	11
(filmRef)0738	13
(filmRef)0739	10
(filmRef)0742	13
(filmRef)0744	2
(filmRef)0745	3
(filmRef)0746	2
(filmRef)0747	2
(filmRef)0748	14
(filmRef)0749	2
(filmRef)0750	13
(filmRef)0751	10
(filmRef)0752	10
(filmRef)0753	14
(filmRef)0754	11
(filmRef)0755	11
(filmRef)0756	14
(filmRef)0757	11
(filmRef)0758	10
(filmRef)0759	19
(filmRef)0760	19
(filmRef)0761	19
(filmRef)0762A	14
(filmRef)0762B	7
(filmRef)0763	14
(filmRef)0764	14
(filmRef)0765	14
(filmRef)0766	14
(filmRef)0767	14
(filmRef)0768	14
(filmRef)0769	14
(filmRef)0770	19
(filmRef)0771	14
(filmRef)0772	14
(filmRef)0773	2
(filmRef)0774	10
(filmRef)0775	14
(filmRef)0776	14
(filmRef)0777	3
(filmRef)0778	14
(filmRef)0779	14
(filmRef)0780	14
(filmRef)0781	11
(filmRef)0782	1
(filmRef)0783	3
(filmRef)0784	14
(filmRef)0785	10
(filmRef)0786	14
(filmRef)0787	14
(filmRef)0788	14
(filmRef)0789	14
(filmRef)0790	14
(filmRef)0791	14
(filmRef)0793	2
(filmRef)0794	14
(filmRef)0795	14
(filmRef)0796	10
(filmRef)0797	2
(filmRef)0798	2
(filmRef)0799	10
(filmRef)0800	10
(filmRef)0801	10
(filmRef)0802	10
(filmRef)0803	10
(filmRef)0804	10
(filmRef)0805	10
(filmRef)0806	2
(filmRef)0807	14
(filmRef)0808	14
(filmRef)0809	14
(filmRef)0810A	19
(filmRef)0810B	19
(filmRef)0811	19
(filmRef)0812	11
(filmRef)0813	19
(filmRef)0814	6
(filmRef)0815	2
(filmRef)0816	11
(filmRef)0817	14
(filmRef)0818	14
(filmRef)0819	6
(filmRef)0820	2
(filmRef)0821	14
(filmRef)0822	14
(filmRef)0823	19
(filmRef)0824	14
(filmRef)0825	19
(filmRef)0826	10
(filmRef)0827	14
(filmRef)0828	11
(filmRef)0829	6
(filmRef)0830	3
(filmRef)0831	14
(filmRef)0832	11
(filmRef)0833	14
(filmRef)0834	14
(filmRef)0835	10
(filmRef)0836	13
(filmRef)0837	10
(filmRef)0838	11
(filmRef)0839	14
(filmRef)0840A	6
(filmRef)0840B	6
(filmRef)0841	14
(filmRef)0842	1
(filmRef)0843	14
(filmRef)0844	1
(filmRef)0845	14
(filmRef)0846	11
(filmRef)0847	11
(filmRef)0848	11
(filmRef)0849	7
(filmRef)0850	11
(filmRef)0851	10
(filmRef)0852	14
(filmRef)0853	11
(filmRef)0854	11
(filmRef)0855	11
(filmRef)0856	14
(filmRef)0857	13
(filmRef)0858	13
(filmRef)0859	13
(filmRef)0860	11
(filmRef)0861	14
(filmRef)0862	10
(filmRef)0863A	14
(filmRef)0863B	11
(filmRef)0863C	11
(filmRef)0864	14
(filmRef)0865	13
(filmRef)0866	1
(filmRef)0867	11
(filmRef)0868	14
(filmRef)0869	18
(filmRef)0870B	18
(filmRef)0871	13
(filmRef)0872	19
(filmRef)0873A	14
(filmRef)0873B	14
(filmRef)0873C	14
(filmRef)0873D	14
(filmRef)0874	14
(filmRef)0875A	14
(filmRef)0875B	6
(filmRef)0875C	14
(filmRef)0875D	14
(filmRef)0876	13
(filmRef)0877	13
(filmRef)0878	19
(filmRef)0879	19
(filmRef)0880	19
(filmRef)0881	11
(filmRef)0882	10
(filmRef)0883	19
(filmRef)0884	19
(filmRef)0885	13
(filmRef)0886	7
(filmRef)0887	14
(filmRef)0888	10
(filmRef)0889	10
(filmRef)0890	14
(filmRef)0892	11
(filmRef)0893	10
(filmRef)0894	14
(filmRef)0895	13
(filmRef)0896	14
(filmRef)0897	7
(filmRef)0898	14
(filmRef)0899	7
(filmRef)0900	7
(filmRef)0901	1
(filmRef)0902	1
(filmRef)0903	11
(filmRef)0904	14
(filmRef)0905	7
(filmRef)0906	7
(filmRef)0907	7
(filmRef)0908	13
(filmRef)0909	10
(filmRef)0910	10
(filmRef)0911	2
(filmRef)0912	10
(filmRef)0913	10
(filmRef)0914	10
(filmRef)0915	10
(filmRef)0916	2
(filmRef)0917	10
(filmRef)0918	10
(filmRef)0919	3
(filmRef)0920	14
(filmRef)0921	10
(filmRef)0922	10
(filmRef)0923	11
(filmRef)0924	7
(filmRef)0925	14
(filmRef)0926A	1
(filmRef)0926B	7
(filmRef)0927	14
(filmRef)0928	13
(filmRef)0929	14
(filmRef)0930	14
(filmRef)0931	10
(filmRef)0932	2
(filmRef)0933	10
(filmRef)0934	2
(filmRef)0935	14
(filmRef)0936	2
(filmRef)0937	10
(filmRef)0938	10
(filmRef)0939	6
(filmRef)0940	2
(filmRef)0941	11
(filmRef)0942	14
(filmRef)0943	19
(filmRef)0944	11
(filmRef)0945	14
(filmRef)0946	10
(filmRef)0947	14
(filmRef)0948	13
(filmRef)0949	10
(filmRef)0950	10
(filmRef)0951	10
(filmRef)0952	10
(filmRef)0954	14
(filmRef)0955	1
(filmRef)0956	11
(filmRef)0957	1
(filmRef)0958	13
(filmRef)0959	11
(filmRef)0960A	14
(filmRef)0960B	19
(filmRef)0960C	19
(filmRef)0961A	7
(filmRef)0961B	19
(filmRef)0962	19
(filmRef)0963	14
(filmRef)0964	14
(filmRef)0965	19
(filmRef)0966	14
(filmRef)0967	14
(filmRef)0968	10
(filmRef)0969	2
(filmRef)0970	2
(filmRef)0974	10
(filmRef)0975	10
(filmRef)0976	1
(filmRef)0977	11
(filmRef)0978	3
(filmRef)0979	7
(filmRef)0980	13
(filmRef)0981	2
(filmRef)0982	6
(filmRef)0983	11
(filmRef)0985	14
(filmRef)0986	10
(filmRef)0987	14
(filmRef)0988	2
(filmRef)0989	11
(filmRef)0990	11
(filmRef)0991	10
(filmRef)0992	3
(filmRef)0993	11
(filmRef)0995	11
(filmRef)0997	10
(filmRef)1000	11
(filmRef)10006	1
(filmRef)10007	1
(filmRef)10008	3
(filmRef)10009	2
(filmRef)10010	11
(filmRef)10011	14
(filmRef)10012	2
(filmRef)10013	6
(filmRef)10014	3
(filmRef)10015	2
(filmRef)10016	2
(filmRef)10017	19
(filmRef)10018	3
(filmRef)10019	14
(filmRef)10020	14
(filmRef)10021	2
(filmRef)10022	3
(filmRef)10023	14
(filmRef)10024	14
(filmRef)10026	11
(filmRef)10027	18
(filmRef)10028	19
(filmRef)10029	19
(filmRef)10030	14
(filmRef)10031	14
(filmRef)10032	3
(filmRef)10033	14
(filmRef)10034	2
(filmRef)10035	14
(filmRef)10036	2
(filmRef)10037	3
(filmRef)10038	3
(filmRef)10039	2
(filmRef)1004	11
(filmRef)10040	3
(filmRef)10041	2
(filmRef)10042	3
(filmRef)10043	2
(filmRef)10044	3
(filmRef)10045	2
(filmRef)10046	3
(filmRef)10047	2
(filmRef)10048	2
(filmRef)10049	2
(filmRef)1005	11
(filmRef)10050	2
(filmRef)10051	3
(filmRef)10052	2
(filmRef)10053	2
(filmRef)10054	2
(filmRef)10055	2
(filmRef)10056	14
(filmRef)10058	3
(filmRef)10059	3
(filmRef)10060	1
(filmRef)10061	11
(filmRef)10062	11
(filmRef)10063	1
(filmRef)10064	13
(filmRef)10065	1
(filmRef)10066	1
(filmRef)10073	3
(filmRef)10074	3
(filmRef)10075	14
(filmRef)10076	3
(filmRef)10077	3
(filmRef)10078	3
(filmRef)10079	3
(filmRef)1008	11
(filmRef)10080	3
(filmRef)10081	3
(filmRef)10082	3
(filmRef)10083	3
(filmRef)10084	3
(filmRef)10085	3
(filmRef)10086	2
(filmRef)10087	2
(filmRef)10088	3
(filmRef)10089	2
(filmRef)1009	11
(filmRef)10090	2
(filmRef)10091	2
(filmRef)10092	14
(filmRef)10093	2
(filmRef)1010	11
(filmRef)1011	11
(filmRef)1013	11
(filmRef)10141	14
(filmRef)10145	11
(filmRef)10146	3
(filmRef)10147	3
(filmRef)10148	3
(filmRef)10149	3
