film_ref	title	tfidf_cluster	tc_pattern	has_shotlist	has_timecodes	has_grampian_tc	has_standard_tc	desc_word_count
(filmRef)22876	[THYNE, WILLIAM LTD (NEGATIVE)]	16.0	C_shotlist_no_tc	True	False	False	False	38
(filmRef)22877	[TOOTAL BROADHURST LEE CO LTD (1)]	16.0	C_shotlist_no_tc	True	False	False	False	152
(filmRef)22878	[TOOTAL BROADHURST LEE CO LTD (2)]	16.0	C_shotlist_no_tc	True	False	False	False	214
(filmRef)22879	[TOOTAL BROADHURST LEE CO LTD (3)]	16.0	C_shotlist_no_tc	True	False	False	False	64
(filmRef)2288	ALLAN GLEN'S SCHOOL CAMP	14.0	A_standard_shotlist_tc	True	True	False	True	58
(filmRef)22880	[TOOTAL BROADHURST LEE CO LTD (5)]	16.0	C_shotlist_no_tc	True	False	False	False	75
(filmRef)22881	[TOOTAL BROADHURST LEE CO LTD (6)]	16.0	C_shotlist_no_tc	True	False	False	False	180
(filmRef)22882	[TOOTAL BROADHURST LEE CO LTD (7)]	16.0	C_shotlist_no_tc	True	False	False	False	99
(filmRef)22883	[TOOTAL BROADHURST LEE CO LTD (8)]	13.0	C_shotlist_no_tc	True	False	False	False	163
(filmRef)22884	[TOOTAL BROADHURST LEE CO LTD (9)]	16.0	C_shotlist_no_tc	True	False	False	False	97
(filmRef)22885	[TOOTAL BROADHURST LEE CO LTD (10)]	16.0	C_shotlist_no_tc	True	False	False	False	63
(filmRef)22886	[TOOTAL BROADHURST LEE CO LTD (NEGATIVE)]	16.0	C_shotlist_no_tc	True	False	False	False	195
(filmRef)22887	[TOTTIE (1)]		C_shotlist_no_tc	True	False	False	False	50
(filmRef)22888	[TOTTIE (2)]		C_shotlist_no_tc	True	False	False	False	53
(filmRef)22889	[TRIPLEX LTD (1)]	16.0	C_shotlist_no_tc	True	False	False	False	32
(filmRef)2289	(TAYPORT PARISH CHURCH SALES OF WORK)	14.0	A_standard_shotlist_tc	True	True	False	True	354
(filmRef)22890	[TRIPLEX LTD (2)]	16.0	C_shotlist_no_tc	True	False	False	False	53
(filmRef)22891	[TRIPLEX LTD (3)]	16.0	C_shotlist_no_tc	True	False	False	False	58
(filmRef)22892	[TRIPLEX LTD (4)]	16.0	C_shotlist_no_tc	True	False	False	False	60
(filmRef)22893	[TRIPLEX LTD (5)]	16.0	C_shotlist_no_tc	True	False	False	False	55
(filmRef)22894	[TRIPLEX LTD (6)]	16.0	C_shotlist_no_tc	True	False	False	False	51
(filmRef)22895	[TRIPLEX LTD (7)]	16.0	C_shotlist_no_tc	True	False	False	False	76
(filmRef)22896	[TRIPLEX LTD (8)]	16.0	C_shotlist_no_tc	True	False	False	False	58
(filmRef)22897	[TRIPLEX LTD (9)]	16.0	C_shotlist_no_tc	True	False	False	False	77
(filmRef)22898	[TRIPLEX LTD (10)]	16.0	C_shotlist_no_tc	True	False	False	False	77
(filmRef)22899	[TURNER BROS. ASBESTOS CO.]	16.0	C_shotlist_no_tc	True	False	False	False	35
(filmRef)2290	JUBILEE DAY IN TAYPORT, 6th MAY 1935	14.0	A_standard_shotlist_tc	True	True	False	True	202
(filmRef)22900	[TYPEWRITER: LOADING & UNLOADING: OLD METHOD]		C_shotlist_no_tc	True	False	False	False	45
(filmRef)22901	[TYPEWRITER: LOADING & UNLOADING: OLD & NEW METHODS]		C_shotlist_no_tc	True	False	False	False	68
(filmRef)22902	[UK OPTICAL CO (1)]	16.0	C_shotlist_no_tc	True	False	False	False	70
(filmRef)22903	[UK OPTICAL CO (2)]	16.0	C_shotlist_no_tc	True	False	False	False	67
(filmRef)22904	[UNIVERSITY WOMENS CLUB]	16.0	C_shotlist_no_tc	True	False	False	False	36
(filmRef)22905	[WADDINGTON JOHN LTD (1)]	16.0	C_shotlist_no_tc	True	False	False	False	107
(filmRef)22906	[WADDINGTON JOHN LTD (2)]	16.0	C_shotlist_no_tc	True	False	False	False	138
(filmRef)22907	[WAGNER'S, MRS, PIES]	16.0	C_shotlist_no_tc	True	False	False	False	165
(filmRef)22908	[WATFORD BISCUIT CO]	16.0	C_shotlist_no_tc	True	False	False	False	30
(filmRef)22909	[WATKINSON, J. & SON LTD]	16.0	C_shotlist_no_tc	True	False	False	False	45
(filmRef)2291	CORONATION DAY, TAYPORT, 12th MAY 1937	19.0	A_standard_shotlist_tc	True	True	False	True	300
(filmRef)22910	[WELLAND SHOE CO (1)]	16.0	C_shotlist_no_tc	True	False	False	False	74
(filmRef)22911	[WELLAND SHOE CO (2)]	16.0	C_shotlist_no_tc	True	False	False	False	91
(filmRef)22912	[WELLINGTON TANK CO (1)]	16.0	C_shotlist_no_tc	True	False	False	False	52
(filmRef)22913	[WELLINGTON TANK CO (4)]	16.0	C_shotlist_no_tc	True	False	False	False	50
(filmRef)22914	[WELLINGTON TANK CO (NEGATIVE)]	16.0	C_shotlist_no_tc	True	False	False	False	117
(filmRef)22915	[WEST MIDLANDS GAS BOARD]	16.0	C_shotlist_no_tc	True	False	False	False	60
(filmRef)22916	[WESCOT CLOTHING LTD (1)]	16.0	C_shotlist_no_tc	True	False	False	False	133
(filmRef)22917	[WESCOT CLOTHING LTD (2)]	16.0	C_shotlist_no_tc	True	False	False	False	30
(filmRef)22918	[WESCOT CLOTHING LTD (NEGATIVE)]	16.0	C_shotlist_no_tc	True	False	False	False	92
(filmRef)22919	[WHITE, JOB (1)]	16.0	C_shotlist_no_tc	True	False	False	False	73
(filmRef)2292	(LOCAL EVENTS, TAYPORT)	14.0	A_standard_shotlist_tc	True	True	False	True	116
(filmRef)22920	[WHITE, JOB (2)]	16.0	C_shotlist_no_tc	True	False	False	False	115
(filmRef)22921	[WHITE, JOB (3)]	16.0	C_shotlist_no_tc	True	False	False	False	109
(filmRef)22922	[WHITE, JOB (NEGATIVE)]	16.0	C_shotlist_no_tc	True	False	False	False	219
(filmRef)22923	[WHITEHEAD, W. & J. (LAISTERDYKE) LTD (1)]	16.0	C_shotlist_no_tc	True	False	False	False	191
(filmRef)22924	[WHITEHEAD, W. & J. (LAISTERDYKE) LTD (5)]	16.0	C_shotlist_no_tc	True	False	False	False	57
(filmRef)22925	[WHITEHEAD, W. & J. (LAISTERDYKE) LTD (6)]	16.0	C_shotlist_no_tc	True	False	False	False	80
(filmRef)22926	[WHITEHEAD, W. & J. (LAISTERDYKE) LTD (7)]	16.0	C_shotlist_no_tc	True	False	False	False	66
(filmRef)22927	[WHITEHEAD, W. & J. (LAISTERDYKE) LTD (8)]	16.0	C_shotlist_no_tc	True	False	False	False	80
(filmRef)22928	[WHITEHEAD, W. & J. (LAISTERDYKE) LTD (9)]	16.0	C_shotlist_no_tc	True	False	False	False	72
(filmRef)22929	[WHITEHEAD, W. & J. (LAISTERDYKE) LTD (10)]		C_shotlist_no_tc	True	False	False	False	49
(filmRef)2293	(WARTIME IN TAYPORT)	14.0	A_standard_shotlist_tc	True	True	False	True	245
(filmRef)22930	[WHITEHEAD, W. & J. (LAISTERDYKE) LTD (11)]		C_shotlist_no_tc	True	False	False	False	30
(filmRef)22931	[WHITEHEAD, W. & J. (LAISTERDYKE) LTD (12)]	16.0	C_shotlist_no_tc	True	False	False	False	66
(filmRef)22932	[WHITEHEAD, W. & J. (LAISTERDYKE) LTD (13)]		C_shotlist_no_tc	True	False	False	False	60
(filmRef)22933	[WHITEHEAD, W. & J. (LAISTERDYKE) LTD (14)]	16.0	C_shotlist_no_tc	True	False	False	False	65
(filmRef)22934	[WIGSTON LAUNDRY]	16.0	C_shotlist_no_tc	True	False	False	False	48
(filmRef)22935	[WILD T. C. & SONS LTD]	16.0	C_shotlist_no_tc	True	False	False	False	105
(filmRef)22936	[WILTON CARPET]		C_shotlist_no_tc	True	False	False	False	28
