film_ref	title	year	genre_tag	genre_tag_raw	desc_word_count	n_desc_fields	has_shotlist	has_reels	has_credit_line	credit_text	n_subjects	has_timecodes	timecode_count	n_creators
(filmRef)T1125	SEA TO SEA	1966.0	non-fiction	non-fiction	256	5	True	False	False		0	True	8	0
(filmRef)T1126	ATOM TOWN	1966.0	non-fiction; television documentary	non-fiction; television documentary	530	5	True	False	True	Title overlaid	3	True	29	0
(filmRef)T1127	[DUNCAN WRIGHT / HUGH PURDIE, POTTER FROM ARRAN]	1966.0	non-fiction; television documentary	non-fiction; television documentary	200	5	True	False	True	no shots of Arran	3	True	5	0
(filmRef)T1128	CLEARANCE '68	1968.0	non-fiction; television documentary	non-fiction; television documentary	265	5	True	False	False		1	True	17	0
(filmRef)T1129	"AULD REEKIE ""PORTRAIT OF A CITY"""	1966.0	non-fiction; television documentary	non-fiction; television documentary	145	5	True	False	True	presented by Bill Tennent?	3	True	10	0
(filmRef)T1130	LAUDER OF LAUDER HA'	1966.0	non-fiction; television documentary television arts	non-fiction; television documentary television arts	262	5	True	False	False		2	True	12	0
(filmRef)T1131	"[""FUN CITY"", PORTOBELLO / LOCH KATRINE - TROSSACHS]"	1966.0	non-fiction; television documentary	non-fiction; television documentary	324	5	True	False	True	including STV countdown leader and logo	1	True	13	0
(filmRef)T1132	CANADIANS, the	1966.0	non-fiction; television documentary	non-fiction; television documentary	244	4	True	False	False		0	True	22	0
(filmRef)T1133	NOT PROVEN	1965.0	non-fiction; television documentary	non-fiction; television documentary	423	5	True	False	False		1	True	24	0
(filmRef)T1134	TEN THOUSAND A DAY, OPENING OF CORPACH PULP MILL	1966.0	non-fiction	non-fiction	60	4	True	False	False		0	False	0	0
(filmRef)T1135	ONE POUND SCOTS	1965.0	non-fiction; television documentary	non-fiction; television documentary	511	5	True	False	False		4	True	28	0
(filmRef)T1136	[GLAISTER - GORBALS BOY]	1965.0	fiction	fiction	65	4	True	False	True	GLAISTER - GORBALS BOY	0	True	1	0
(filmRef)T1137	[GLAISTER - GIRL IN THE DARK]	1962.0	fiction	fiction	48	4	True	False	True	GLAISTER - GIRL IN THE DARK	0	True	1	0
(filmRef)T1138	GROWING PAINS	1959.0	non-fiction; television documentary television documentary	non-fiction; television documentary television documentary	239	5	True	False	False		0	True	3	0
(filmRef)T1139	CRISIS IN ASIA	1959.0	non-fiction; television documentary	non-fiction; television documentary	208	5	True	False	False		0	True	7	0
(filmRef)T1140	CAN IT HOLD TOGETHER?	1959.0	non-fiction; television documentary	non-fiction; television documentary	181	5	True	False	False		0	True	7	0
(filmRef)T1141	ROAD AND THE MILES, the	1966.0	non-fiction; television documentary	non-fiction; television documentary	491	5	True	False	True	title superimposed	8	True	33	0
(filmRef)T1142	BOND CAR/ EDINBURGH FESTIVAL GUIDE	1965.0	non-fiction	non-fiction	146	4	True	False	False		0	True	3	0
(filmRef)T1143	[OPENING OF NEW SEWERAGE PLANT]	1973.0	non-fiction	non-fiction	43	4	True	False	False		0	True	2	0
