film_ref	has_source_tag	source_name	desc_word_count	has_shotlist	is_broadcaster_summary
(filmRef)0317	False		366	True	False
(filmRef)0318	False		65	True	False
(filmRef)0319	False		237	True	False
(filmRef)0320	False		410	True	False
(filmRef)0322	False		87	True	False
(filmRef)0323	False		224	True	False
(filmRef)0324	False		216	True	False
(filmRef)0325	False		147	True	False
(filmRef)0326	False		55	True	False
(filmRef)0327	False		59	True	False
(filmRef)0328	False		197	True	False
(filmRef)0329	False		83	True	False
(filmRef)0330	False		194	True	False
(filmRef)0331	False		112	True	False
(filmRef)0332	False		80	True	False
(filmRef)0333	False		274	True	False
(filmRef)0334	False		230	True	False
(filmRef)0335A	False		97	True	False
(filmRef)0335B	False		98	True	False
(filmRef)0336	False		273	True	False
(filmRef)0337	False		344	True	False
(filmRef)0338	False		203	True	False
(filmRef)0339	False		221	True	False
(filmRef)0340	False		471	True	False
(filmRef)0341	False		137	True	False
(filmRef)0342	False		150	True	False
(filmRef)0343	False		242	True	False
(filmRef)0344	False		156	True	False
(filmRef)0345	False		491	True	False
(filmRef)0346	False		581	True	False
(filmRef)0347	False		342	True	False
(filmRef)0348	False		578	True	False
(filmRef)0349	False		159	True	False
(filmRef)0350	False		184	True	False
(filmRef)0351	False		198	True	False
(filmRef)0352	False		439	True	False
(filmRef)0353	False		132	True	False
(filmRef)0354	False		347	True	False
(filmRef)0355	False		159	True	False
(filmRef)0356	False		66	True	False
(filmRef)0357	False		169	True	False
(filmRef)0358	False		89	True	False
(filmRef)0359	False		181	True	False
(filmRef)0360	False		125	True	False
(filmRef)0361	False		450	True	False
(filmRef)0362	False		406	True	False
(filmRef)0363	False		259	True	False
(filmRef)0364	False		332	True	False
(filmRef)0365	False		223	True	False
(filmRef)0366	False		311	True	False
(filmRef)0367	False		337	True	False
(filmRef)0368	False		145	True	False
(filmRef)0373	False		351	True	False
(filmRef)0374	False		341	True	False
(filmRef)0376	False		194	True	False
(filmRef)0377	False		603	True	False
(filmRef)0379	False		227	True	False
(filmRef)0380	False		356	True	False
(filmRef)0381	False		114	True	False
(filmRef)0382	False		59	True	False
(filmRef)0383	False		143	True	False
(filmRef)0385	False		287	True	False
(filmRef)0386	False		243	True	False
(filmRef)0387	False		347	True	False
(filmRef)0388	False		226	True	False
(filmRef)0389	False		202	True	False
(filmRef)0390	False		198	True	False
(filmRef)0391	False		124	True	False
(filmRef)0392	False		223	True	False
(filmRef)0393	False		160	True	False
(filmRef)0394	False		183	True	False
(filmRef)0395	False		220	True	False
(filmRef)0396	False		301	True	False
(filmRef)0397	False		231	True	False
(filmRef)0398	False		732	True	False
(filmRef)0399	False		232	True	False
(filmRef)0400	False		101	True	False
(filmRef)0401A	False		117	True	False
(filmRef)0401B	False		46	True	False
(filmRef)0402A	False		69	True	False
(filmRef)0402B	False		78	True	False
(filmRef)0403	False		39	True	False
(filmRef)0404A	False		53	True	False
(filmRef)0404B	False		71	True	False
(filmRef)0404C	False		51	True	False
(filmRef)0404D	False		55	True	False
(filmRef)0404E	False		62	True	False
(filmRef)0405	False		72	True	False
(filmRef)0406	False		73	True	False
(filmRef)0407A	False		77	True	False
(filmRef)0407B	False		55	True	False
(filmRef)0408	False		121	True	False
(filmRef)0409	False		78	True	False
(filmRef)0410	False		85	True	False
(filmRef)0411	False		188	True	False
(filmRef)0412B	False		42	True	False
(filmRef)0412C	False		69	True	False
(filmRef)0413	False		182	True	False
(filmRef)0414	False		103	True	False
(filmRef)0415	False		170	True	False
(filmRef)0416	False		297	True	False
(filmRef)0417	False		702	True	False
(filmRef)0418	False		911	True	False
(filmRef)0419	False		212	True	False
(filmRef)0420	False		238	True	False
(filmRef)0421	False		344	True	False
(filmRef)0422	False		92	True	False
(filmRef)0423	False		326	True	False
(filmRef)0424	False		178	True	False
(filmRef)0425	False		294	True	False
(filmRef)0426	False		150	True	False
(filmRef)0427	False		134	True	False
(filmRef)0428	False		465	True	False
(filmRef)0429	False		103	True	False
(filmRef)0430	False		117	True	False
